Date,Cash,Equity,Positions,Market_Value,Total_Exposure,Drawdown
2017-09-28,1e+05,1e+05,0,0,0,-0.491957386083468
2017-09-29,1e+05,1e+05,0,0,0,-0.491957386083468
2017-09-30,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-01,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-02,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-03,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-04,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-05,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-06,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-07,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-08,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-09,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-10,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-11,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-12,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-13,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-14,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-15,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-16,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-17,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-18,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-19,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-20,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-21,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-22,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-23,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-24,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-25,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-26,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-27,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-28,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-29,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-30,1e+05,1e+05,0,0,0,-0.491957386083468
2017-10-31,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-01,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-02,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-03,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-04,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-05,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-06,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-07,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-08,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-09,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-10,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-11,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-12,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-13,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-14,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-15,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-16,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-17,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-18,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-19,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-20,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-21,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-22,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-23,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-24,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-25,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-26,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-27,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-28,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-29,1e+05,1e+05,0,0,0,-0.491957386083468
2017-11-30,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-01,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-02,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-03,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-04,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-05,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-06,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-07,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-08,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-09,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-10,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-11,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-12,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-13,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-14,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-15,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-16,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-17,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-18,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-19,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-20,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-21,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-22,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-23,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-24,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-25,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-26,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-27,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-28,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-29,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-30,1e+05,1e+05,0,0,0,-0.491957386083468
2017-12-31,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-01,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-02,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-03,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-04,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-05,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-06,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-07,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-08,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-09,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-10,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-11,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-12,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-13,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-14,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-15,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-16,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-17,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-18,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-19,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-20,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-21,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-22,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-23,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-24,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-25,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-26,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-27,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-28,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-29,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-30,1e+05,1e+05,0,0,0,-0.491957386083468
2018-01-31,1e+05,1e+05,0,0,0,-0.491957386083468
2018-02-01,1e+05,1e+05,0,0,0,-0.491957386083468
2018-02-02,81218.3366326141,99981.2370995331,1,18762.9004669189,0.187664215919234,-0.492052709613446
2018-02-03,1e+05,118762.900466919,1,18762.9004669189,0.157986209440425,-0.396633856104775
2018-02-04,1e+05,118762.900466919,1,18762.9004669189,0.157986209440425,-0.396633856104775
2018-02-05,1e+05,118082.050933838,1,18082.0509338379,0.15313124044542,-0.400092861869479
2018-02-06,1e+05,118161.100311279,1,18161.1003112793,0.15369779278829,-0.399691257346041
2018-02-07,80696.5951211853,117797.56657962,2,37100.9714584351,0.314955330026773,-0.401538163618829
2018-02-08,81014.8434715271,136338.604457855,3,55323.7609863281,0.405782068888858,-0.30734179013499
2018-02-09,80890.5095144653,155070.349846497,4,74179.8403320313,0.478362500667997,-0.212176541230347
2018-02-10,1e+05,174179.840332031,4,74179.8403320313,0.425880745961332,-0.115092186261506
2018-02-11,1e+05,174179.840332031,4,74179.8403320313,0.425880745961332,-0.115092186261506
2018-02-12,1e+05,176018.562988281,4,76018.5629882813,0.431878102500714,-0.105750691616018
2018-02-13,1e+05,175855.361328125,4,75855.361328125,0.431350859906898,-0.106579825596231
2018-02-14,81261.4806093445,175978.078540253,5,94716.5979309082,0.538229526748941,-0.105956369864012
2018-02-15,1e+05,194147.080413818,5,94147.0804138184,0.484926583563074,-0.0136500978230051
2018-02-16,1e+05,192424.96496582,5,92424.9649658203,0.480316912008987,-0.0223991781596748
2018-02-17,1e+05,192424.96496582,5,92424.9649658203,0.480316912008987,-0.0223991781596748
2018-02-18,1e+05,192424.96496582,5,92424.9649658203,0.480316912008987,-0.0223991781596748
2018-02-19,1e+05,192424.96496582,5,92424.9649658203,0.480316912008987,-0.0223991781596748
2018-02-20,1e+05,192194.437103272,5,92194.4371032715,0.479693577466724,-0.0235703579383738
2018-02-21,99225.6736005478,191101.742349022,5,91876.0687484741,0.480770439971577,-0.0291217129299921
2018-02-22,1e+05,192846.637496948,5,92846.6374969483,0.481453235078665,-0.0202569020103644
2018-02-23,1e+05,193393.439582825,5,93393.4395828247,0.482919378156192,-0.0174789144003275
2018-02-24,1e+05,193393.439582825,5,93393.4395828247,0.482919378156192,-0.0174789144003275
2018-02-25,1e+05,193393.439582825,5,93393.4395828247,0.482919378156192,-0.0174789144003275
2018-02-26,118547.952554413,191939.518891998,4,73391.5663375855,0.382368189527879,-0.0248654510822754
2018-02-27,118471.26025,172805.76025,3,54334.5,0.314425282591238,-0.122073098627564
2018-02-28,100160.260796272,153361.859558785,3,53201.5987625122,0.346902410518306,-0.22085639994655
2018-03-01,81211.050606308,153207.157593308,4,71996.1069869995,0.469926523786278,-0.221642351855739
2018-03-02,82128.0660861816,171989.22525061,5,89861.1591644287,0.522481330057098,-0.126221444382006
2018-03-03,1e+05,189861.159164429,5,89861.1591644287,0.473299328624686,-0.0354244041688084
2018-03-04,1e+05,189861.159164429,5,89861.1591644287,0.473299328624686,-0.0354244041688084
2018-03-05,117648.892949768,190226.810933777,4,72577.9179840088,0.381533589443789,-0.0335667373619801
2018-03-06,1e+05,172291.664031982,4,72291.6640319824,0.419588866577799,-0.124684926491626
2018-03-07,81859.0565006104,171756.06986731,5,89897.0133666992,0.523399338586108,-0.127405973085815
2018-03-08,1e+05,186821.838737488,5,86821.8387374878,0.464730672410763,-0.0508654471111381
2018-03-09,1e+05,187800.927474976,5,87800.9274749756,0.467521266563899,-0.0458912590966428
2018-03-10,1e+05,187800.927474976,5,87800.9274749756,0.467521266563899,-0.0458912590966428
2018-03-11,1e+05,187800.927474976,5,87800.9274749756,0.467521266563899,-0.0458912590966428
